type,element_id,metadata,text
Title,3bcd9e03e3eaa295031a24cf9838cbde,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Spring 2023 OMSCS Orientation Document
NarrativeText,705eac3b0c92b0b88ed6179a97b0a8c7,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Welcome to the OMSCS program! The faculty and staff at the College of Computing are looking forward to working with you for the duration of your time at Georgia Tech.
NarrativeText,1f1bc56e00d904291eb1716c7a6782fc,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}","We encourage you to review our onboarding information and to watch our OMSCS Orientation video playlist online, in addition to reading this document carefully and in its entirety."
Title,dee18caa47ed61ec83d207ff2dbfdbb1,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",TABLE OF CONTENTS
Title,5dc6dc57de1fd09895bd27d36c1b207d,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",(Hyperlinked)
Title,7c465318cabdff747f14760e6ecff3c8,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION A. ACADEMIC POLICIES
Title,668d4fd315ebcd86e073fe04b509c9a5,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION B.  FOUNDATIONAL COURSE REQUIREMENT
Title,1b712eb8e00b5842dd9297fbf4c812ff,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION C.  DEGREE REQUIREMENTS
Title,faa7c93d23d287774c8132fb2203e3bb,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION D.  REGISTRATION TIME TICKETS
Title,a41b7e51d2cc28f6ec9fd6bfaed7bee2,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION E.  REGISTRATION HOLDS
Title,aa5111eba8e930bb3677c3908a6f6eb1,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION F.  REGISTER FOR CLASSES
NarrativeText,440b25eb3912fd919137908e2e9a30b7,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",To prepare for registration...
NarrativeText,1e6cb44c5275b660fcf2cb82e0c80a33,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",If a course is CLOSED...
Title,d0854e88838babea3ee55e094a4eda36,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION G.  WAITLISTING FOR A CLOSED COURSE
NarrativeText,37d14c80c92581fd3842ca4c1522e7ba,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Things to know about waitlisting...
NarrativeText,a31cb5531b4c42eb3c74163a4b131a50,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Checking your wait list number…
Title,5fd791267176c75634fd7f797cdde961,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",“Free for all” registration period…
UncategorizedText,f199bf4713a3cfbfaff1f175b730d262,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION H.  DROPPING/WITHDRAWING FROM A COURSE(S)
Title,d5bd1d945c0a32aa7cbd0791e5ad0c6a,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION I. SYSTEMS YOU WILL BE USING AND WHY
Title,803740c15564bcd4932fd5e71ba47bfc,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION J. IMPORTANT DATES FOR THE SPRING 2023 SEMESTER
Title,77e1c15b07a28440bde6ccccfda524ab,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION K.  FREQUENTLY ASKED QUESTIONS (FAQs)
Title,0d316f7f080c8c257ea3c730de98af7d,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",New Student Onboarding/GT Email Account
Title,c8d69375b21110d614d64ca1236639d7,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Institute Services & Course-Related Resources
Title,ca21733a36e303922f3991e75ad2ebd4,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Deferring Admission
Title,c9f52c42f62be95b899e6b929b8d952b,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Degree Requirements
Title,71abe9dd094d2e4ee1a24ba1403a7242,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Foundational Requirement
Title,fd68b256d295d861965b4c5a5a84a424,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Course/Program Planning
Title,85ece42b1738c9dbe84400960e361309,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Grades/GPA Requirement
Title,f668987270c1622fd687e8a42baf2b8c,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Registration-Related Information
Title,9932a7b00f9d21129bf34f9ae9613b2a,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Payments & Financial Information
Title,02c8c3f4e9079a80ac657d1cfd2b2e4a,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Taking Time Off
Title,9efe2b4d3d004cb3c7a2f8c3b80a21a6,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Graduation
Title,05ed8f92161693cfe7a93311a4490c48,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION L.  GEORGIA TECH DIRECTORY INFORMATION
UncategorizedText,5301736d002395532fe8214bd9d7107e,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION M.  GET CONNECTED!
Title,1993143b4fe26d76d8d13aef7c7b4a2d,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",SECTION N.  OMSCS ADVISING CONTACT INFORMATION
NarrativeText,fa47d600d89f84525001de8f0e5bbaf5,"{'filename': 'combined_sentences_p1_output.txt', 'filetype': 'text/plain', 'languages': ['eng']}",Click here to return to Table of Contents
